id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
62757505,2020-07-15,"Missoula County, US-MT, US",46.67723,-113.993,Thoughtful Apamea,Apamea cogitata
62757755,2020-07-15,"Missoula County, US-MT, US",46.67723,-113.993,Aseptis characta,Aseptis characta
62757879,2020-07-15,"Missoula County, US-MT, US",46.67723,-113.993,Oregon Cycnia Moth,Cycnia oregonensis
62803662,2020-06-03,"Missoula County, US-MT, US",46.67723,-113.993,Stamnodes marmorata,Stamnodes marmorata
62805167,2017-08-14,"Orchard Homes, MT, USA",46.8421525251,-114.068337041,Lorquin's Admiral,Limenitis lorquini
62805168,2017-08-14,"Orchard Homes, MT, USA",46.8421525251,-114.068337041,Hunt's Bumble Bee,Bombus huntii
62805353,2020-05-14,"Missoula County, US-MT, US",46.67723,-113.993,Leucania dia,Leucania dia
62808456,2020-06-11,"Missoula County, US-MT, US",46.67723,-113.993,Drasteria divergens,Drasteria divergens
62809121,2020-06-11,"Missoula County, US-MT, US",46.67723,-113.993,Anarta hamata,Anarta hamata
62810466,2020-06-16,"Missoula County, US-MT, US",46.67723,-113.993,Plusia putnami,Plusia putnami
62810900,2020-06-17,"Missoula County, US-MT, US",46.67723,-113.993,Apamea commoda parcata,Apamea commoda parcata
62815528,2020-07-02,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Smeathmann's Aethes Moth,Aethes smeathmanniana
62816413,2020-07-08,"Missoula County, US-MT, US",46.67723,-113.993,Macaria colata,Macaria colata
62819131,2020-10-05,"Hamilton, MT 59840, USA",46.255088168,-114.1635131836,European Mantis,Mantis religiosa
62822817,2020-07-07,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Mottled Rustic,Caradrina morpheus
62824016,2020-07-07,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Amanda's Pinion Moth,Lithophane amanda
62825704,2020-07-07,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Gray Scoopwing,Callizzia amorata
62826581,2020-07-08,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Tebenna balsamorrhizella,Tebenna balsamorrhizella
62827847,2020-07-08,"Missoula County, US-MT, US",46.67723,-113.993,Army Cutworm Moth,Euxoa auxiliaris
62828894,2020-07-08,"Missoula County, US-MT, US",46.67723,-113.993,Tricolored Acrobasis Moth,Acrobasis tricolorella
62830554,2020-07-08,"Missoula County, US-MT, US",46.67723,-113.993,Morrison's Borer Moth,Pelochrista morrisoni
62833543,2020-07-15,"Missoula County, US-MT, US",46.67723,-113.993,Pelochrista subflavana,Pelochrista subflavana
